date,open,close,high,low
2026-01-01,12.14,12.46,12.46,12.14
2026-01-02,12.46,12.39,12.46,12.39
2026-01-03,12.39,12.31,12.39,12.31
2026-01-04,12.31,12.14,12.31,12.14
2026-01-05,12.14,12.12,12.14,12.12
2026-01-06,12.12,12.25,12.25,12.12
2026-01-07,12.25,12.20,12.25,12.20
2026-01-08,12.20,12.25,12.25,12.20
2026-01-09,12.25,12.17,12.25,12.17
2026-01-10,12.17,12.34,12.34,12.17
2026-01-11,12.34,12.45,12.45,12.34
2026-01-12,12.45,12.36,12.45,12.36
2026-01-13,12.36,12.44,12.44,12.36
2026-01-14,12.44,12.50,12.50,12.44
2026-01-15,12.50,12.50,12.50,12.50
2026-01-16,12.50,12.49,12.50,12.49
2026-01-17,12.49,12.59,12.59,12.49
2026-01-18,12.59,12.67,12.67,12.59
2026-01-19,12.67,13.22,13.22,12.67
2026-01-20,13.22,13.18,13.22,13.18
2026-01-21,13.18,13.04,13.18,13.04
2026-01-22,13.04,12.97,13.04,12.97
2026-01-23,12.97,13.09,13.09,12.97
2026-01-24,13.09,12.92,13.09,12.92
2026-01-25,12.92,12.94,12.94,12.92
2026-01-26,12.94,12.99,12.99,12.94
2026-01-27,12.99,13.03,13.03,12.99
2026-01-28,13.03,12.82,13.03,12.82
2026-01-29,12.82,12.59,12.82,12.59
2026-01-30,12.59,12.51,12.59,12.51
2026-01-31,12.51,12.20,12.51,12.20
2026-02-01,12.20,12.25,12.25,12.20
2026-02-02,12.25,12.42,12.42,12.25
2026-02-03,12.42,12.49,12.49,12.42
2026-02-04,12.49,12.53,12.53,12.49
2026-02-05,12.53,12.11,12.53,12.11
2026-02-06,12.11,12.16,12.16,12.11
2026-02-07,12.16,12.27,12.27,12.16
2026-02-08,12.27,12.20,12.27,12.20
2026-02-09,12.20,12.06,12.20,12.06
2026-02-10,12.06,11.81,12.06,11.81
2026-02-11,11.81,11.64,11.81,11.64
2026-02-12,11.64,11.60,11.64,11.60
2026-02-13,11.60,11.50,11.60,11.50
2026-02-14,11.50,11.56,11.56,11.50
2026-02-15,11.56,11.61,11.61,11.56
2026-02-16,11.61,12.20,12.20,11.61
2026-02-17,12.20,11.82,12.20,11.82
2026-02-18,11.82,11.51,11.82,11.51
2026-02-19,11.51,11.42,11.51,11.42
2026-02-20,11.42,11.42,11.42,11.42
2026-02-21,11.42,11.42,11.42,11.42
2026-02-22,11.42,11.19,11.42,11.19
2026-02-23,11.19,11.17,11.19,11.17
2026-02-24,11.17,11.04,11.17,11.04
2026-02-25,11.04,11.02,11.04,11.02
2026-02-26,11.02,10.77,11.02,10.77
2026-02-27,10.77,10.77,10.77,10.77
2026-02-28,10.77,10.76,10.77,10.76
2026-03-01,10.76,10.72,10.76,10.72
2026-03-02,10.72,10.61,10.72,10.61
2026-03-03,10.61,10.58,10.61,10.58
2026-03-04,10.58,10.43,10.58,10.43
2026-03-05,10.43,10.46,10.46,10.43
2026-03-06,10.46,10.39,10.46,10.39
2026-03-07,10.39,10.38,10.39,10.38
2026-03-08,10.38,10.39,10.39,10.38
2026-03-09,10.39,10.30,10.39,10.30
2026-03-10,10.30,10.14,10.30,10.14
2026-03-11,10.14,10.16,10.16,10.14
2026-03-12,10.16,10.03,10.16,10.03
2026-03-13,10.03,10.09,10.09,10.03
2026-03-14,10.09,10.12,10.12,10.09
2026-03-15,10.12,10.16,10.16,10.12
2026-03-16,10.16,10.04,10.16,10.04
2026-03-17,10.04,10.07,10.07,10.04
2026-03-18,10.07,10.11,10.11,10.07
2026-03-19,10.11,10.01,10.11,10.01
2026-03-20,10.01,9.98,10.01,9.98
2026-03-21,9.98,9.98,9.98,9.98
2026-03-22,9.98,9.88,9.98,9.88
2026-03-23,9.88,9.89,9.89,9.88
2026-03-24,9.89,9.77,9.89,9.77
2026-03-25,9.77,9.68,9.77,9.68
2026-03-26,9.68,9.58,9.68,9.58
2026-03-27,9.58,9.46,9.58,9.46
2026-03-28,9.46,9.90,9.90,9.46
2026-03-29,9.90,9.29,9.90,9.29
2026-03-30,9.29,9.43,9.43,9.29
2026-03-31,9.43,9.45,9.45,9.43
2026-04-01,9.45,9.43,9.45,9.43
2026-04-02,9.43,9.41,9.43,9.41
2026-04-03,9.41,9.31,9.41,9.31
2026-04-04,9.31,9.23,9.31,9.23
2026-04-05,9.23,9.28,9.28,9.23
2026-04-06,9.28,9.27,9.28,9.27
2026-04-07,9.27,9.15,9.27,9.15
2026-04-08,9.15,9.07,9.15,9.07
2026-04-09,9.07,8.92,9.07,8.92
2026-04-10,8.92,8.86,8.92,8.86
2026-04-11,8.86,8.74,8.86,8.74
2026-04-12,8.74,8.78,8.78,8.74
2026-04-13,8.78,8.80,8.80,8.78
2026-04-14,8.80,8.69,8.80,8.69
2026-04-15,8.69,8.61,8.69,8.61
2026-04-16,8.61,8.68,8.68,8.61
2026-04-17,8.68,8.80,8.80,8.68
2026-04-18,8.80,9.03,9.03,8.80
2026-04-19,9.03,9.13,9.13,9.03
2026-04-20,9.13,9.40,9.40,9.13
2026-04-21,9.40,9.42,9.42,9.40
2026-04-22,9.42,9.37,9.42,9.37
2026-04-23,9.37,9.32,9.37,9.32
2026-04-24,9.32,9.61,9.61,9.32
2026-04-25,9.61,9.74,9.74,9.61
2026-04-26,9.74,9.75,9.75,9.74
2026-04-27,9.75,9.55,9.75,9.55
2026-04-28,9.55,9.52,9.55,9.52
2026-04-29,9.52,9.59,9.59,9.52
2026-04-30,9.59,9.56,9.59,9.56
2026-05-01,9.56,9.60,9.60,9.56
2026-05-02,9.60,9.60,9.60,9.60
2026-05-03,9.60,9.91,9.91,9.60
2026-05-04,9.91,9.59,9.91,9.59
2026-05-05,9.59,9.54,9.59,9.54
2026-05-06,9.54,9.62,9.62,9.54
2026-05-07,9.62,9.50,9.62,9.50
2026-05-08,9.50,9.53,9.53,9.50
2026-05-09,9.53,9.50,9.53,9.50
